barcode,regex_result,barcode_type
JL-AS000368-3 SN 10358033 NAD A00AED22,10358033,Jnet1
JL-AS000368-3 SN 10357973 NAD A00AECAA,10357973,Jnet1
JL-AS000368-3 SN 10357979 NAD A00AECB6,10357979,Jnet1
JL-AS000368-3 SN 10357885 NAD A00AEBFA,10357885,Jnet1
JL-AS000368-3 SN 10357977 NAD A00AECB2,10357977,Jnet1
4024353,4024353,Jnet0
4022575,4022575,Jnet0
4022575,4022575,Jnet0
4022575,4022575,Jnet0
JL-AS000368-3 SN 10357624 NAD A00AE9F0,10357624,Jnet1
JL-AS000368-3 SN 10357611 NAD A00AE9D6,10357611,Jnet1
JL-AS000368-3 SN 10357773 NAD A00AEB1A,10357773,Jnet1
JL-AS000368-3 SN 10357777 NAD A00AEB22,10357777,Jnet1
JL-AS000344-3 SN 10345703 NAD A00A8CCE,10345703,Jnet1
JL-AS000368-3 SN 10357614 NAD A00AE9DC,10357614,Jnet1
JL-AS000368-3 SN 10357721 NAD A00AEAB2,10357721,Jnet1
JL-AS000368-3 SN 10357881 NAD A00AEBF2,10357881,Jnet1
JL-AS000368-3 SN 10357957 NAD A00AEC8A,10357957,Jnet1
JL-AS000368-3 SN 10357908 NAD A00AEC28,10357908,Jnet1
JL-AS000368-3 SN 10357884 NAD A00AEBF8,10357884,Jnet1
4022230,4022230,Jnet0
4022230,4022230,Jnet0
P/N: PR101503524 S/N: 2131JG10001 D/C: 2131,101503524,Unknown
4022172,4022172,Jnet0
4025088,4025088,Jnet0
4025088,4025088,Jnet0
JL-AS000368-3 SN 10357719 NAD A00AEAAE,10357719,Jnet1
4024398,4024398,Jnet0
JL-AS000368-3 SN 10357800 NAD A00AEB50,10357800,Jnet1
4024500,4024500,Jnet0
JL-AS000344-3 SN 10345613 NAD A00A8C1A,10345613,Jnet1
JL-AS000344-3 SN 10345661 NAD A00A8C7A,10345661,Jnet1
10345661,10345661,Jnet1
JL-AS000344-3 SN 10345613 NAD A00A8C1A,10345613,Jnet1
JL-AS000344-3 SN 10363228 NAD A00B15B8,10363228,Jnet1
10303228,10303228,Jnet1
JL-AS000368-3 SN 10357844 NAD A00AEBA8,10357844,Jnet1
JL-AS000368-3 SN 10357782 NAD A00AEB2C,10357782,Jnet1
JL-AS000368-3 SN 10357860 NAD A00AEBC8,10357860,Jnet1
JL-AS000368-3 SN 10357887 NAD A00AEBFE,10357887,Jnet1
JL-AS000368-3 SN 10357896 NAD A00AEC10,10357896,Jnet1
4022234,4022234,Jnet0
4024279,4024279,Jnet0
"@LED CONTROLLER,SN 4023306,PN JL-AS000172 ,HW 17,FW 962,DATE 1518#",4023306,Jnet0
4022480,4022480,Jnet0
JL-AS000368-3 SN 10357790 NAD A00AEB3C,10357790,Jnet1
JL-AS000368-3 SN 10357702 NAD A00AEA8C,10357702,Jnet1
JL-AS000368-3 SN 10357755 NAD A00AEAF6,10357755,Jnet1
JL-AS000368-3 SN 10357758 NAD A00AEAFC,10357758,Jnet1
JL-AS000368-3 SN 10357695 NAD A00AEA7E,10357695,Jnet1
JL-AS000368-3 SN 10357713 NAD A00AEAA2,10357713,Jnet1
JL-AS000368-3 SN 10357590 NAD A00AE9AC,10357590,Jnet1
JL-AS000368-3 SN 10357772 NAD A00AEB18,10357772,Jnet1
JL-AS000368-3 SN 10357772 NAD A00AEB18,10357772,Jnet1
JL-AS000368-3 SN 10357713 NAD A00AEAA2,10357713,Jnet1
JL-AS000344-3 SN 10345107 NAD A00A8826,10345107,Jnet1
JL-AS000344-3 SN 10345107 NAD A00A8826,10345107,Jnet1
JL-AS000344-3 SN 10345665 NAD A00A8C82,10345665,Jnet1
JL-AS000344-3 SN 10344655 NAD A00A849E,10344655,Jnet1
JL-AS000344-3 SN 10344655 NAD A00A849E,10344655,Jnet1
10322998,10322998,Jnet1
JL-AS000368-3 SN 10357919 NAD A00AEC3E,10357919,Jnet1
JL-AS000368-3 SN 10357769 NAD A00AEB12,10357769,Jnet1
JL-AS000344-3 SN 10363211 NAD A00B1596,10363211,Jnet1
JL-AS000344-3 SN 10363211 NAD A00B1596,10363211,Jnet1
4024631,4024631,Jnet0
4027185,4027185,Jnet0
4022417,4022417,Jnet0
4024706,4024706,Jnet0
4024060,4024060,Jnet0
4025710,4025710,Jnet0
4025332,4025332,Jnet0
